intents,phrases
age,are you old
age,can I get an age for you?
age,How old are you
age,how old are you
age,HOW OLD ARE YOU
age,how old are you ?
age,How old are you?
age,how old are you?
age,how old are you?<br>
age,how old are you<br>
age,what age
age,what is your age
age,when were you born
bye,By seyou I well tak nest time
bye,bye
bye,BYE
bye,Bye Bye.
bye,bye noiw
bye,bye now
bye,Byeb
bye,ciao
bye,farewell
bye,go away
bye,good bye Felix <br>
bye,good-bye
bye,goodbye
bye,Goodbye!
bye,goodnight
bye,i am leaving
bye,I need to go now bye!
bye,Its ok! Goodbye
bye,lata
bye,later
bye,laters
bye,Ok bye
bye,okay goodbye
bye,see ya
bye,see you later
careers,Looking for job vacancy
careers,im trying to schedule an interview
careers,job
careers,I need job
careers,hai im looking for job in malasiya
careers,salary
careers,do you have jobs now
careers,I want to ask you about job prestashop wordpress?
careers,I am looking for an internship
careers,i need a job
careers,careers
careers,open positions
careers,any open jobs?
careers,I am having 11+ Years experience in Oracle EBS and Oracle Fusion Technical in Finance
careers,job opputunities
careers,hai i am looking for a job regarding r[pa in uipath
careers,I am a consultant looking for job
careers,Hi
careers,jobs
careers,career
careers,do you have any openings in Oracle
careers,do you have any openings
careers,can I get job with you please
careers,open jobs
careers,i am looking for a job
careers,I need a job
careers,i want job
careers,How about working in ABG..
careers,I am looking for jobn
careers,can i get a job
careers,I am currently working on singapore as ORacle Apps DBA and cloud consultant 
careers,I want career
careers,Do you have anything job for japan
careers,I want a career
careers,do you have open jobs?
careers,am looking for job
careers,do you have any job openings
careers,I am looking for a java job
careers,are you hiring?
careers,do you guys provide places for interns?
careers,I am looking job in malasia
careers,Job
careers,I am looking for job in Malaysia
careers,any job opening
careers,I am looking for job?
careers,I need job for japana
careers,I am having 11+ years of experience in oracle ebs and oracle Cloud technical in finance
careers,I like jobs
careers,i am looking for job
careers,I need jobs
careers,I amm looking for job
careers,I want to need in job
careers,looki job
careers,I am here to ask about any job opportunities in R12 implementations 
careers,want job
careers,Human resource
careers,Hi Am Looking for Job Opportunity  in ABG in oracle Domain.
careers,How can i join this
careers,How can apply
careers,dear sir do u have ant opening in oracle financial opening 
doing_bad,Anyway I feel so sad
doing_bad,are you devil
doing_bad,are you stupid?
doing_bad,argghh
doing_bad,ayooo
doing_bad,bad
doing_bad,bad answers
doing_bad,demm
doing_bad,demn
doing_bad,doing_bad
doing_bad,FOOL
doing_bad,I am a devil
doing_bad,I am angry
doing_bad,I am disappointed in you
doing_bad,I am not doing good
doing_bad,I am not good
doing_bad,I am not well
doing_bad,I am useless with this life chat rubbish and you are making it seem like that.
doing_bad,i do not have a question
doing_bad,I do not like you
doing_bad,i do not understand
doing_bad,i do not want
doing_bad,i don t understand u speak now
doing_bad,i feel bad
doing_bad,I HATE YOU
doing_bad,i hate you
doing_bad,I hate you
doing_bad,i want to die
doing_bad,idiot
doing_bad,keep repeating the same words
doing_bad,Nob
doing_bad,not doing good
doing_bad,Not good
doing_bad,not good
doing_bad,Not happy
doing_bad,Not well
doing_bad,shit
doing_bad,Stupid
doing_bad,stupid
doing_bad,stupid bot
doing_bad,unhappy
doing_bad,Very bad
doing_bad,whatever
doing_bad,you are not AI
doing_bad,you are not great
doing_bad,you are not smart
doing_bad,you bad
doing_bad,you bad bot
doing_bad,You crazy
doing_bad,you crazzy Felix
doing_bad,you die
doing_bad,you idiot
doing_bad,you idiot bot
doing_bad,You stupid
doing_bad,you suck
doing_bad,You suggest a fallback but not able to answer?
doing_bad,you ugly
doing_bad,you upset me
doing_well,am good
doing_well,can I marryu
doing_well,can we go on a date
doing_well,doing great
doing_well,doing well
doing_well,doing_well
doing_well,fine thank you
doing_well,I am doing good
doing_well,I am doing well
doing_well,I am good
doing_well,I am great
doing_well,I am not sure
doing_well,I am ok
doing_well,I want to love you
doing_well,I want to marry you
doing_well,I want to merry you
doing_well,I want to talk to a girl
doing_well,Im fine thank you
doing_well,You are awesome
feedback,can I get some feedback
feedback,Feedback
feedback,feedback
feedback,feedback form
feedback,feedback to you
feedback_bad,arghhh
feedback_bad,arghhhh
feedback_bad,arghhhhhh
feedback_bad,bad_feedback
feedback_bad,damn
feedback_bad,grrrrrrrrr
feedback_bad,hate you
feedback_bad,hell no
feedback_bad,i tired of you
feedback_bad,ko kenal tak 
feedback_bad,omg you really shit
feedback_bad,That's a shit bot dude
feedback_bad,why cant you think
feedback_bad,worst UI experience
feedback_bad,you are so bored
feedback_bad,you are stupid
feedback_bad,you idiot bot
feedback_bad,You suck
feedback_good,amazing chatbot
feedback_good,good
feedback_good,good_feedback
feedback_good,great!
feedback_good,i like byou
feedback_good,i like stuffs
feedback_good,i like this app
feedback_good,i like you
feedback_good,I like you
feedback_good,I live in future
feedback_good,kiss me<br>
feedback_good,Like
feedback_good,Like it!
feedback_good,sexy girl
feedback_good,thery good
feedback_good,you are cute
feedback_good,you are good
feedback_good,you good
